doi,authorName,authorID,authorIDtype,authorAffil,affilID,affilIDtype,familyName,givenName,indexID,creatorIndex,affiliationIndex,identifierIndex
10.6084/m9.figshare.19426223.v1,"Li, Feng",NA,NA,Wuxi People's Hospital,https://grid.ac/institutes/grid.460176.2,GRID,Li,Feng,257,3,11,NA
10.6084/m9.figshare.19426223.v1,"Li, Feng",NA,NA,Hunan University,https://grid.ac/institutes/grid.67293.39,GRID,Li,Feng,257,3,12,NA
10.6084/m9.figshare.19426223.v1,"Wang, Shuang",NA,NA,Chongqing University,https://grid.ac/institutes/grid.190737.b,GRID,Wang,Shuang,257,4,1,NA
10.6084/m9.figshare.19426223.v1,"Wang, Shuang",NA,NA,University of Rhode Island,https://grid.ac/institutes/grid.20431.34,GRID,Wang,Shuang,257,4,2,NA
10.6084/m9.figshare.19426223.v1,"Wang, Shuang",NA,NA,University of Chinese Academy of Sciences,https://grid.ac/institutes/grid.410726.6,GRID,Wang,Shuang,257,4,3,NA
10.6084/m9.figshare.19426223.v1,"Wang, Shuang",NA,NA,Peking University First Hospital,https://grid.ac/institutes/grid.411472.5,GRID,Wang,Shuang,257,4,4,NA
10.6084/m9.figshare.19426223.v1,"Wang, Shuang",NA,NA,Inner Mongolia University,https://grid.ac/institutes/grid.411643.5,GRID,Wang,Shuang,257,4,5,NA
10.6084/m9.figshare.19426223.v1,"Wang, Shuang",NA,NA,Institute of Biophysics,https://grid.ac/institutes/grid.418856.6,GRID,Wang,Shuang,257,4,6,NA
10.6084/m9.figshare.19426223.v1,"Wang, Shuang",NA,NA,Liaoning Cancer Hospital & Institute,https://grid.ac/institutes/grid.459742.9,GRID,Wang,Shuang,257,4,7,NA
10.6084/m9.figshare.19426223.v1,"Wang, Shuang",NA,NA,Henan Academy of Agricultural Sciences,https://grid.ac/institutes/grid.495707.8,GRID,Wang,Shuang,257,4,8,NA
10.6084/m9.figshare.19426223.v1,"Zhao, Jiawei",NA,NA,Beijing Children’s Hospital,https://grid.ac/institutes/grid.411609.b,GRID,Zhao,Jiawei,257,5,1,NA
10.6084/m9.figshare.19426223.v1,"Zhao, Jiawei",NA,NA,First Affiliated Hospital of Zhengzhou University,https://grid.ac/institutes/grid.412633.1,GRID,Zhao,Jiawei,257,5,2,NA
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,Sun Yat-sen University,https://grid.ac/institutes/grid.12981.33,GRID,Liu,Jing,257,7,1,NA
10.6084/m9.figshare.19426223.v1,"Liu, Jing",NA,NA,China Agricultural University,https://grid.ac/institutes/grid.22935.3f,GRID,Liu,Jing,257,7,2,NA
